    0.314509972460152802E+02    0.438457003340684253E+02    0.101765466848297649E+04
    0.312756268101043950E+02    0.439894126900195133E+02    0.101770308257481747E+04
    0.627032289299596286E+02    0.250866109767083358E+02    0.101804208248891393E+04
    0.641511396769520204E+01    0.565828156504958599E+02    0.101807380651532765E+04
    0.126795246517413744E+02    0.501905938392884750E+02    0.101812581398674763E+04
    0.126550057801148093E+02    0.627299773991529932E+02    0.101818250448740480E+04
    0.502899707515436631E+02    0.126984598131396460E+02    0.101824033773977703E+04
    0.438796131891881203E+02    0.566337127799328641E+02    0.101832821896292273E+04
    0.314839095670446873E+02    0.187353911926301890E+02    0.101836643283527349E+04
    0.378168568812234938E+02    0.377601073588891296E+02    0.101838878463731373E+04
    0.377470606826992707E+02    0.252554398207339723E+02    0.101846165939478624E+04
    0.634614104215215757E+01    0.639751160276688680E+01    0.101856403822960681E+04
    0.564254561437478301E+02    0.314581689031816936E+02    0.101858516368633650E+04
    0.502326751673552110E+02    0.125341391532638041E+00    0.101864180890497619E+04
    0.641038125218942234E+01    0.188258333071609414E+02    0.101865599895602247E+04
    0.189561560628665653E+02    0.566216195007762835E+02    0.101867520337750739E+04
    0.639550863991985086E+01    0.564857132905862827E+02    0.101870860129851440E+04
    0.378174487137418041E+02    0.251830327176648261E+02    0.101872316516139790E+04
    0.440937655804887427E+02    0.314749993741666358E+02    0.101892021440750477E+04
    0.313457290521829535E+02    0.313114462050449198E+02    0.101894310160643033E+04
    0.313226059233038931E+02    0.187653584619196785E+02    0.101895792576221038E+04
    0.375757171966100429E+02    0.376760100914400837E+02    0.101896861259340187E+04
    0.615863745536644380E+01    0.626801307519703688E+01    0.101897408689851852E+04
    0.251462278587601666E+02    0.503899218007711198E+02    0.101899806058907404E+04
    0.187323314332385387E+02    0.440245069363194546E+02    0.101904444069687804E+04
    0.637141138485400038E+01    0.619573379337541130E+01    0.101907456358605634E+04
    0.124853174765411001E+02    0.376050486258797179E+02    0.101907902068274348E+04
    0.376245115140366764E+02    0.503645450110713639E+02    0.101909132004084586E+04
    0.633047409697832553E+01    0.189638900830923767E+02    0.101911296786975868E+04
    0.252089268642028621E+02    0.377964680199032159E+02    0.101912195263138278E+04
    0.188577711914397561E+02    0.189727547779125985E+02    0.101913231505657893E+04
    0.124459039177761799E+02    0.502389815891918019E+02    0.101914241154846786E+04
    0.314196331536156528E+02    0.189723890373894584E+02    0.101917808558175716E+04
    0.375871428808343495E+02    0.502193784645157280E+02    0.101931868692339867E+04
    0.312949500969433707E+02    0.628096486129875409E+01    0.101932511770890380E+04
    0.250120161780601755E+02    0.377003715302687255E+02    0.101934554261578978E+04
    0.313668578903015991E+02    0.313062400994926158E+02    0.101939005497240169E+04
    0.250126830090232843E+02    0.463775700712624594E-02    0.101939036492567527E+04
    0.501458055339875841E+02    0.377049366658861302E+02    0.101941554058075121E+04
    0.581107302976445680E-01    0.627276235910659068E+02    0.101945342075838630E+04
    0.314827248915391635E+02    0.438843365354638451E+02    0.101951169195772343E+04
    0.125316335973494937E+02    0.124531003560657663E+02    0.101951781465174224E+04
    0.188104626966887523E+02    0.440940429488697632E+02    0.101952473293987111E+04
    0.376383188740701442E+02    0.378005908888652584E+02    0.101953212781574985E+04
    0.124492323818550084E+02    0.628214037671268173E+02    0.101958317812220457E+04
    0.252148960499475052E+02    0.126503748254957387E+02    0.101959219018505121E+04
    0.315128182404312227E+02    0.187839759436094695E+02    0.101962941078588619E+04
    0.251301496974282870E+02    0.503823453307201774E+02    0.101963633702086452E+04
    0.315314846081195448E+02    0.627314156686771529E+01    0.101970301900916331E+04
    0.188310636289883568E+02    0.189638831972137858E+02    0.101971644284964759E+04
    0.124748206222396973E+02    0.126364471009080042E+02    0.101975585192623623E+04
    0.188044390114932014E+02    0.440880448457176470E+02    0.101977895316944387E+04
    0.125537402737809387E+02    0.252468777564612950E+02    0.101978842514237908E+04
    0.252110942968455909E+02    0.376152865099124369E+02    0.101979614107376119E+04
    0.502037997217629126E+02    0.961426761010675535E-01    0.101983345463872081E+04
    0.251831599289127936E+02    0.124639061496419892E+02    0.101983551250942094E+04
    0.501546823628077263E+02    0.251053602681857377E+02    0.101983971299184816E+04
